,Job Title,Salary Estimate,Company Name,Location,Size,Type of ownership,Industry,Sector
102,Analyst-Data Integrity,$51K-$87K (Glassdoor est.),"Premier, Inc.
3.0","New York, NY",1001 to 5000 employees,Company - Public,Health Care Services & Hospitals,Health Care
103,"Reference Data Operations Analyst - Index Instrument, Associate",$51K-$87K (Glassdoor est.),"JPMorgan Chase
3.9","New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
104,Data Analyst,$51K-$87K (Glassdoor est.),"Fund for Public Health
3.0","Long Island City, NY",201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit
105,Data & Service Health Analyst,$51K-$87K (Glassdoor est.),"BlueVoyant
4.2","New York, NY",51 to 200 employees,Company - Private,-1,-1
106,Data/Systems Analyst,$51K-$87K (Glassdoor est.),"Crossfire Consulting Corporation
5.0","New York, NY",51 to 200 employees,Company - Private,Consulting,Business Services
107,Data Analyst,$51K-$87K (Glassdoor est.),"Reliable Software Resources
4.0","New York, NY",501 to 1000 employees,Company - Private,IT Services,Information Technology
108,Data Analyst,$51K-$87K (Glassdoor est.),Hyde Leadership Brooklyn,"Brooklyn, NY",51 to 200 employees,School / School District,-1,-1
109,Data Analyst,$51K-$87K (Glassdoor est.),Vertex Intel Systems,"Jersey City, NJ",-1,-1,-1,-1
110,Data Analyst Intern,$51K-$87K (Glassdoor est.),"My Job Tank
3.6","Jersey City, NJ",51 to 200 employees,Company - Private,IT Services,Information Technology
111,"Data Analytics Analyst or Associate, Cowen Sustainable Investments",$51K-$87K (Glassdoor est.),"Cowen
3.7","New York, NY",501 to 1000 employees,Company - Public,Investment Banking & Asset Management,Finance
112,Data Reporting Analyst,$51K-$87K (Glassdoor est.),"Robert Half
3.5","New York, NY",10000+ employees,Company - Public,Staffing & Outsourcing,Business Services
113,Data Analyst,$51K-$87K (Glassdoor est.),"FJA-US Inc.
2.8","New York, NY",51 to 200 employees,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology
114,Data Analyst,$51K-$87K (Glassdoor est.),"Averity
5.0","New York, NY",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
115,Data Analyst,$51K-$87K (Glassdoor est.),"Capgemini
3.8","Jersey City, NJ",10000+ employees,Company - Public,Enterprise Software & Network Solutions,Information Technology
116,ERP Data Analyst,$51K-$87K (Glassdoor est.),"Wildlife Conservation Society
3.4","New York, NY",1001 to 5000 employees,Nonprofit Organization,Social Assistance,Non-Profit
117,Data Analyst,$51K-$87K (Glassdoor est.),"Asembia
3.6","Florham Park, NJ",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
118,Healthcare Data/Reporting Analyst,$51K-$87K (Glassdoor est.),Vesta Healthcare,"New York, NY",1 to 50 employees,Company - Private,Health Care Services & Hospitals,Health Care
119,PBM Data Analyst,$51K-$87K (Glassdoor est.),"1199SEIU Funds
3.2","New York, NY",1001 to 5000 employees,Nonprofit Organization,Insurance Carriers,Insurance
120,Data Analyst (Temporary Assignment),$59K-$85K (Glassdoor est.),"Nutrafol
3.8","New York, NY",51 to 200 employees,Other Organization,"Health, Beauty, & Fitness",Consumer Services
121,Data Analyst,$59K-$85K (Glassdoor est.),"New York Life Insurance Co
3.5","New York, NY",10000+ employees,Company - Private,Insurance Agencies & Brokerages,Insurance
122,Market Data Analyst,$59K-$85K (Glassdoor est.),"EDP World, Inc.
3.5","New York, NY",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
123,Data Analyst,$59K-$85K (Glassdoor est.),"Phyton Talent Advisors
4.1","Jersey City, NJ",1 to 50 employees,Company - Private,-1,-1
124,Junior Data Analyst,$59K-$85K (Glassdoor est.),"Staffigo Technical Services, LLC
5.0","New York, NY",51 to 200 employees,Company - Private,IT Services,Information Technology
125,Microsoft Dynamics CRM Data Analyst,$59K-$85K (Glassdoor est.),"IBM
3.7","New York, NY",10000+ employees,Company - Public,IT Services,Information Technology
126,Practice Analyst Data,$59K-$85K (Glassdoor est.),"Northwell Health
4.0","Manhasset, NY",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
127,Buyside - Data Scientist/Research Analyst,$59K-$85K (Glassdoor est.),"Huxley
3.3","New York, NY",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
128,Data Analyst - Healthcare Provider Networks and Formularies,$59K-$85K (Glassdoor est.),"Vericred
2.9","New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology
129,Electronic Trading Data Analyst,$59K-$85K (Glassdoor est.),"Scotiabank
3.6","New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
130,"Data Analyst, Center for Developing Brain",$59K-$85K (Glassdoor est.),"Child Mind Institute
3.2","New York, NY",201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
131,Data Processing & Performance Analyst,$59K-$85K (Glassdoor est.),"Balance Innovations
3.1","New York, NY",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
132,Business Analyst - Data Analyst,$59K-$85K (Glassdoor est.),"Asset Staffing
3.4","Newark, NJ",201 to 500 employees,Contract,Staffing & Outsourcing,Business Services
133,Data Analyst with Rochade,$59K-$85K (Glassdoor est.),"Reliable Software Resources
4.0","New York, NY",501 to 1000 employees,Company - Private,IT Services,Information Technology
134,Advertising Data Analyst,$59K-$85K (Glassdoor est.),"Hearst Television, Inc
4.3","New York, NY",51 to 200 employees,Company - Private,TV Broadcast & Cable Networks,Media
135,Product Analyst - Data,$59K-$85K (Glassdoor est.),"William Hill US
2.7","Jersey City, NJ",10000+ employees,Company - Public,Gambling,"Arts, Entertainment & Recreation"
136,Senior Data Analyst,$59K-$85K (Glassdoor est.),"Rockstar Games
4.1","New York, NY",1001 to 5000 employees,Subsidiary or Business Segment,Video Games,Media
137,Data Analyst,$59K-$85K (Glassdoor est.),"ZDAAS
4.4","Brooklyn, NY",1 to 50 employees,Company - Private,-1,-1
138,Market Research Data Analyst - Physician Technology,$59K-$85K (Glassdoor est.),"Decision Resources Group
3.1","New York, NY",1001 to 5000 employees,Subsidiary or Business Segment,IT Services,Information Technology
139,Data Analyst,$59K-$85K (Glassdoor est.),"Highbridge Consulting LLC
3.0","New York, NY",1 to 50 employees,Company - Private,-1,-1
140,Look ML Data Analyst,$59K-$85K (Glassdoor est.),"NTT DATA, Inc.
2.9","New York, NY",201 to 500 employees,Company - Private,Accounting,Accounting & Legal
141,Data Collection Analyst,$59K-$85K (Glassdoor est.),"Columbia University
3.9","New York, NY",10000+ employees,College / University,Colleges & Universities,Education
142,Data Analyst,$59K-$85K (Glassdoor est.),"Precision technologies corp
4.2","New York, NY",201 to 500 employees,Company - Private,IT Services,Information Technology
143,DATA ENTRY/ BILLING ANALYST,$59K-$85K (Glassdoor est.),"Cactus Holdings
3.9","Queens Village, NY",1001 to 5000 employees,Company - Private,Research & Development,Business Services
144,Student Persistence Initiative Data Analyst/Scientist,$59K-$85K (Glassdoor est.),"Cuny Research Foundation
4.2","New York, NY",10000+ employees,Nonprofit Organization,Colleges & Universities,Education
145,Data Quality Analyst,$59K-$85K (Glassdoor est.),SGA Inc.,"New York, NY",1 to 50 employees,Company - Private,Architectural & Engineering Services,Business Services
146,Data Governance Analyst,$59K-$85K (Glassdoor est.),"Crossfire Consulting Corporation
5.0","New York, NY",51 to 200 employees,Company - Private,Consulting,Business Services
147,Sr. Business Intelligence Engineer / Data Analyst,$59K-$85K (Glassdoor est.),"Amazon
3.9","New York, NY",10000+ employees,Company - Public,Internet,Information Technology
148,Data Analyst,$59K-$85K (Glassdoor est.),"Voice
3.4","Brooklyn, NY",Unknown,Company - Private,-1,-1
149,Data Analyst,$59K-$85K (Glassdoor est.),"NTT DATA, Inc.
2.9","New York, NY",201 to 500 employees,Company - Private,Accounting,Accounting & Legal
150,Data Analyst,$43K-$76K (Glassdoor est.),"NYU Langone Health
4.0","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
151,Healthcare Data/Reporting Analyst,$43K-$76K (Glassdoor est.),"HOMETEAM
3.6","New York, NY",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care
